id,idade,renda_anual,pontuacao_gastos,cluster
1,56,94740,90,2
2,69,136352,50,2
3,46,86617,62,2
4,32,114841,97,2
5,60,36896,51,1
6,25,145729,37,0
7,38,66175,96,2
8,56,27805,87,1
9,36,25237,78,1
10,40,135247,29,0
11,28,40056,50,1
12,28,65543,80,1
13,41,76556,4,0
14,70,134548,28,0
15,53,131488,3,0
16,57,23343,9,1
17,41,33500,55,1
18,20,73222,16,0
19,39,49375,73,1
20,70,29662,16,1
21,19,36964,83,1
22,41,133429,87,2
23,61,141692,68,2
24,47,79638,33,0
25,55,93666,5,0
26,19,105067,52,0
27,38,138937,65,2
28,50,87215,76,2
29,29,89042,42,0
30,39,33284,74,1
31,61,92789,22,0
32,42,104664,54,2
33,66,113468,79,2
34,44,81389,94,2
35,59,29435,74,1
36,45,74340,15,0
37,33,64078,7,0
38,32,98832,3,0
39,64,71293,3,0
40,68,115981,55,2
41,61,98781,24,0
42,69,80403,66,2
43,20,49124,95,1
44,54,115435,66,2
45,68,63919,26,1
46,24,128761,92,2
47,38,141305,31,0
48,26,55247,49,1
49,56,141172,60,2
50,35,114758,50,0
51,21,111747,18,0
52,42,82752,20,0
53,31,76573,4,0
54,67,79101,81,2
55,26,122756,91,2
56,43,46646,41,1
57,70,124185,60,2
58,19,43049,21,1
59,37,99605,20,0
60,45,118116,69,2
61,64,117379,0,0
62,24,88385,4,0
63,61,146131,11,0
64,25,60158,89,1
65,64,85417,45,2
66,52,43289,33,1
67,31,130226,48,0
68,34,120793,77,2
69,53,29823,89,1
70,67,80160,44,2
71,57,61975,26,1
72,21,29540,72,1
73,19,36364,25,1
74,23,24611,46,1
75,59,47663,85,1
76,21,71991,55,1
77,46,77679,93,2
78,35,124182,62,2
79,43,50977,47,1
80,61,114704,60,2
81,51,69115,80,2
82,27,111007,25,0
83,53,108223,35,0
84,31,80890,0,0
85,48,86387,7,0
86,65,38071,98,2
87,32,79275,51,1
88,25,92369,78,2
89,31,31938,46,1
90,40,55195,55,1
91,57,111680,85,2
92,38,24000,13,1
93,33,90588,89,2
94,62,121042,27,0
95,35,113610,86,2
96,64,140420,77,2
97,70,123691,87,2
98,41,126306,1,0
99,43,117856,25,0
100,42,58304,13,1
101,62,131783,58,2
102,58,89449,55,2
103,46,102986,6,0
104,32,109643,2,0
105,62,40764,22,1
106,18,128940,17,0
107,42,106027,37,0
108,24,58494,98,1
109,26,23373,14,1
110,41,32161,63,1
111,18,117532,88,2
112,61,112658,100,2
113,25,143633,27,0
114,41,120386,73,2
115,28,47350,38,1
116,68,113008,56,2
117,34,114297,16,0
